Date : 2025-03-05 19:08:08
Directory : d:\pkr_study\08-力扣\codes
Total : 292 files,  9106 codes, 2254 comments, 1659 blanks, all 13019 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Python   |        188 |      5,876 |      1,538 |      1,204 |      8,618 |
| Java     |         99 |      3,180 |        716 |        455 |      4,351 |
| XML      |          5 |         50 |          0 |          0 |         50 |
+----------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                       |        292 |      9,106 |      2,254 |      1,659 |     13,019 |
| . (Files)                                                               |          3 |        168 |          8 |         39 |        215 |
| .idea                                                                   |          5 |         50 |          0 |          0 |         50 |
| .idea (Files)                                                           |          4 |         44 |          0 |          0 |         44 |
| .idea\inspectionProfiles                                                |          1 |          6 |          0 |          0 |          6 |
| a                                                                       |         73 |      1,663 |        334 |        317 |      2,314 |
| b                                                                       |        171 |      5,602 |      1,346 |      1,001 |      7,949 |
| c                                                                       |         35 |      1,451 |        550 |        281 |      2,282 |
| codetop                                                                 |          5 |        172 |         16 |         21 |        209 |
+-------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\pkr_study\08-力扣\codes\.idea\codes.iml                                | XML      |         11 |          0 |          0 |         11 |
| d:\pkr_study\08-力扣\codes\.idea\deployment.xml                           | XML      |         21 |          0 |          0 |         21 |
| d:\pkr_study\08-力扣\codes\.idea\inspectionProfiles\profiles_settings.xml | XML      |          6 |          0 |          0 |          6 |
| d:\pkr_study\08-力扣\codes\.idea\misc.xml                                 | XML      |          4 |          0 |          0 |          4 |
| d:\pkr_study\08-力扣\codes\.idea\modules.xml                              | XML      |          8 |          0 |          0 |          8 |
| d:\pkr_study\08-力扣\codes\Main.java                                      | Java     |          0 |          0 |          1 |          1 |
| d:\pkr_study\08-力扣\codes\MySkipList.java                                | Java     |        104 |          1 |         18 |        123 |
| d:\pkr_study\08-力扣\codes\a\a01-美好字符串.py                                 | Python   |         42 |          8 |          8 |         58 |
| d:\pkr_study\08-力扣\codes\a\a02-平方根.py                                   | Python   |         23 |          1 |          5 |         29 |
| d:\pkr_study\08-力扣\codes\a\a03-买票时间.py                                  | Python   |         26 |          0 |          5 |         31 |
| d:\pkr_study\08-力扣\codes\a\a04-数组中的字符串匹配.py                             | Python   |         22 |          0 |          5 |         27 |
| d:\pkr_study\08-力扣\codes\a\a05-两数之和.py                                  | Python   |         26 |          0 |          5 |         31 |
| d:\pkr_study\08-力扣\codes\a\a06-字符出现次数.py                                | Python   |         20 |          0 |          4 |         24 |
| d:\pkr_study\08-力扣\codes\a\a07-加一.py                                    | Python   |         29 |          0 |          6 |         35 |
| d:\pkr_study\08-力扣\codes\a\a08-对称二叉树.py                                 | Python   |         27 |          1 |          6 |         34 |
| d:\pkr_study\08-力扣\codes\a\a09-数据流中的第K大元素.py                            | Python   |         24 |          3 |          6 |         33 |
